filename	unknown	tokens	lines
wiki-1525	9674	88847	89175
wiki-1526	10251	90256	90714
wiki-1527	11042	91106	91488
wiki-1528	10246	90169	90609
wiki-1529	10156	91065	91581
wiki-153	9599	90839	91027
wiki-1530	10278	88905	89409
wiki-1531	9481	88932	89322
wiki-1532	10759	90955	91437
wiki-1533	9962	86182	86672
wiki-1534	10694	91206	91674
wiki-1535	13081	95110	95554
wiki-1536	10136	90401	90931
wiki-1537	9239	89081	89693
wiki-1538	9930	89701	90257
wiki-1539	9800	90778	91348
wiki-154	10206	92046	92222
wiki-1540	10612	90947	91409
wiki-1541	10005	91159	91577
wiki-1542	10280	90375	90873
wiki-1543	10205	89581	90403
wiki-1544	10510	87074	87512
wiki-1545	10553	89080	89544
wiki-1546	10103	91021	91541
wiki-1547	11044	90298	90786
wiki-1548	10177	88515	88945
wiki-1549	10204	90551	90971
wiki-155	8756	88777	88887
wiki-1550	9492	83237	83641
wiki-1551	9671	82761	83105
wiki-1552	10189	89275	89853
wiki-1553	9211	87017	87515
wiki-1554	9657	88065	88589
wiki-1555	9649	90962	91324
wiki-1556	9598	90469	90933
wiki-1557	10658	91069	91511
wiki-1558	10444	92668	93156
wiki-1559	11008	90593	91045
wiki-156	9728	89775	89919
wiki-1560	10161	91843	92381
wiki-1561	10169	92054	92522
wiki-1562	10175	89274	89690
wiki-1563	10874	91324	91806
wiki-1564	9925	90007	90447
wiki-1565	9796	91303	91725
wiki-1566	10362	92600	93052
wiki-1567	11160	90863	91285
wiki-1568	10076	91319	91837
wiki-1569	10085	91444	91820
wiki-157	9460	89276	89416
wiki-1570	10382	90401	90813
wiki-1571	9991	91714	92150
wiki-1572	10345	91443	91829
wiki-1573	11373	91168	91628
wiki-1574	10659	90053	90837
wiki-1575	10150	90438	91150
wiki-1576	10709	92867	93227
wiki-1577	9085	91487	91815
wiki-1578	10437	91300	91706
wiki-1579	10474	92058	92528
wiki-158	9699	89471	89671
wiki-1580	10325	88143	88651
wiki-1581	10176	92097	92407
wiki-1582	9072	84407	84759
wiki-1583	10229	92241	92781
wiki-1584	9974	91651	92115
wiki-1585	9297	89217	89661
wiki-1586	10102	86763	87239
wiki-1587	10037	92261	92631
wiki-1588	10286	89963	90483
wiki-1589	9822	91503	91921
wiki-159	8694	89633	89737
wiki-1590	9850	90329	90753
wiki-1591	9593	90078	90600
wiki-1592	10767	93343	93703
wiki-1593	9857	90362	90810
wiki-1594	10444	90599	91137
wiki-1595	11149	93710	94056
wiki-1596	10207	84605	85045
wiki-1597	9548	84899	86813
wiki-1598	9880	88420	89870
wiki-1599	10290	90658	91018
wiki-16	8113	92903	92979
wiki-160	10236	88775	88967
wiki-1600	10199	91553	92015
wiki-1601	10171	90282	91084
wiki-1602	9925	89215	89665
wiki-1603	10056	89867	90215
wiki-1604	10832	91863	92339
wiki-1605	9556	88334	88734
wiki-1606	10303	91716	92150
wiki-1607	10718	90242	91012
wiki-1608	11509	92004	92424
wiki-1609	10375	91047	91489
wiki-161	9471	91496	91632
wiki-1610	10097	90545	91047
wiki-1611	9491	88325	89507
wiki-1612	10669	90836	91380
wiki-1613	10318	91281	91725
wiki-1614	10165	92494	93084
wiki-1615	10434	91639	92097
wiki-1616	9311	88499	89609
wiki-1617	10605	92002	92520
wiki-1618	10296	91245	91651
wiki-1619	10781	91317	91785
wiki-162	9937	90876	91042
wiki-1620	8610	88062	88422
wiki-1621	11187	92752	93172
wiki-1622	10328	91322	91812
wiki-1623	9506	87967	88397
wiki-1624	10297	90921	91289
wiki-1625	10019	91035	91525
wiki-1626	10231	91607	92035
wiki-1627	10815	92948	93422
wiki-1628	9958	90777	91227
wiki-1629	10009	91707	92129
wiki-163	9682	91175	91373
wiki-1630	11110	92646	93088
wiki-1631	10086	92697	93105
wiki-1632	10423	90644	91374
wiki-1633	10030	90154	90712
wiki-1634	10081	92466	92888
wiki-1635	10434	91452	91918
wiki-1636	10918	92770	93232
wiki-1637	10607	91581	92043
wiki-1638	10675	91724	92202
wiki-1639	10592	92358	92780
wiki-164	8711	91501	91659
wiki-1640	10466	92766	93158
wiki-1641	11376	92657	92941
wiki-1642	10022	91189	91647
wiki-1643	10839	92753	93153
wiki-1644	10822	90643	91105
wiki-1645	10727	91286	91788
wiki-1646	10685	90767	91265
wiki-1647	10419	91707	92151
wiki-1648	10389	92197	92671
wiki-1649	11329	91475	91989
wiki-165	9278	89648	89802
wiki-1650	10329	91019	91529
wiki-1651	9722	93862	94220
wiki-1652	9443	90548	90932
wiki-1653	9907	91168	91606
wiki-1654	10199	91097	91609
wiki-1655	10439	90561	91021
wiki-1656	9472	85837	86303
wiki-1657	9977	89027	89435
wiki-1658	10706	91637	92147
wiki-1659	10227	89403	89923
wiki-166	9446	91013	91201
wiki-1660	10283	90702	91170
wiki-1661	10225	90159	90633
wiki-1662	10427	90800	91242
wiki-1663	10736	90108	90698
wiki-1664	11014	90982	91568
wiki-1665	10583	91294	91756
wiki-1666	10710	93060	93612
wiki-1667	10305	90016	90558
wiki-1668	10470	88460	88900
wiki-1669	10136	92221	92567
wiki-167	8758	87727	87947
wiki-1670	11186	92653	93187
wiki-1671	10601	90446	90836
wiki-1672	10573	91655	92133
wiki-1673	10800	91539	91985
wiki-1674	9794	90722	91184
wiki-1675	10278	92319	92687
wiki-1676	10947	91653	92183
wiki-1677	10189	91812	92226
wiki-1678	12367	91987	92491
wiki-1679	10528	90085	91015
wiki-168	8941	86691	86869
wiki-1680	10286	90537	91039
wiki-1681	10023	89360	89790
wiki-1682	10360	89075	89545
wiki-1683	9844	87945	88457
wiki-1684	10174	90317	90721
wiki-1685	9548	90892	91412
wiki-1686	10432	91564	92076
wiki-1687	10815	92098	92608
wiki-1688	10232	89348	89872
wiki-1689	10409	92978	93440
wiki-169	10475	90291	90461
wiki-1690	10174	90890	91408
wiki-1691	10403	89814	90320
wiki-1692	8281	90124	90466
wiki-1693	10670	90729	91269
wiki-1694	9570	91272	91678
wiki-1695	11281	91268	91802
wiki-1696	10294	91281	91767
wiki-1697	8982	85195	85631
wiki-1698	9827	92851	93273
wiki-1699	9691	90664	91104
wiki-17	7089	79518	79872
wiki-170	9448	90813	90961
wiki-1700	10482	89737	90277
wiki-1701	10320	91494	91946
wiki-1702	11163	91250	91690
wiki-1703	9749	90481	91013
wiki-1704	10315	92614	93044
wiki-1705	9971	94579	95029
wiki-1706	10032	87090	87536
wiki-1707	10830	90159	90609
wiki-1708	9835	89308	89818
wiki-1709	9966	89307	89809
wiki-171	8704	89626	89756
wiki-1710	10194	87677	88147
wiki-1711	10212	90591	90995
wiki-1712	10557	91141	91565
wiki-1713	10957	92065	92495
wiki-1714	10755	92188	92680
wiki-1715	10379	90441	90923
wiki-1716	10551	90947	91537
wiki-1717	10489	90041	90509
wiki-1718	10941	91375	91799
wiki-1719	10077	91465	91877
wiki-172	9472	93512	93676
wiki-1720	10888	90332	90828
wiki-1721	10387	90947	91303
wiki-1722	10321	92033	92467
wiki-1723	10767	91217	91659
wiki-1724	9390	91394	91794
wiki-1725	10415	90634	91106
wiki-1726	10428	90725	91235
wiki-1727	9832	89934	90448
wiki-1728	9992	93558	94306
wiki-1729	10936	91689	92159
wiki-173	9104	86750	88196
wiki-1730	10375	90145	90615
wiki-1731	10823	92828	93300
wiki-1732	10394	93573	94079
wiki-1733	10001	97108	97954
wiki-1734	10378	102794	104048
wiki-1735	9986	91691	92193
wiki-1736	10351	90759	91357
wiki-1737	10344	92768	93094
wiki-1738	10140	89989	90527
wiki-1739	10531	88433	88927
wiki-174	8818	90835	90981
wiki-1740	9253	91046	91462
wiki-1741	10004	89780	90166
wiki-1742	10388	90812	91356
wiki-1743	9885	98581	100033
wiki-1744	8779	102222	103714
wiki-1745	10055	92895	94385
wiki-1746	10322	93261	93719
wiki-1747	10495	89714	90202
wiki-1748	10354	89391	89869
wiki-1749	11003	91462	91888
wiki-175	8408	89777	89937
wiki-1750	9820	89073	89431
wiki-1751	10055	91400	91842
wiki-1752	11043	91625	92069
wiki-1753	11376	90306	90862
wiki-1754	10259	89659	90227
wiki-1755	10462	90586	91142
wiki-1756	9880	90202	90918
wiki-1757	9926	89389	89859
wiki-1758	9714	91768	92166
wiki-1759	10798	92773	93349
wiki-176	8806	89654	89856
wiki-1760	10545	91519	92017
wiki-1761	10515	90019	90519
wiki-1762	10151	89767	90285
wiki-1763	10765	89933	90587
wiki-1764	10290	91366	91824
wiki-1765	10801	92490	92958
wiki-1766	11344	91087	91653
wiki-1767	10295	88759	89269
wiki-1768	10710	91307	91823
wiki-1769	10592	91788	92300
wiki-177	9623	90210	90386
wiki-1770	9809	89708	90200
wiki-1771	9708	93082	93530
wiki-1772	9885	89529	90013
wiki-1773	10151	91765	92303
wiki-1774	9981	91141	91665
wiki-1775	10246	90719	91127
wiki-1776	10015	89460	90118
wiki-1777	9929	91477	91967
wiki-1778	10957	92357	92903
wiki-1779	10406	89501	90057
wiki-178	9644	85858	86014
wiki-1780	10031	90926	91410
wiki-1781	10745	92463	92933
wiki-1782	9766	89439	89883
wiki-1783	9572	90336	90768
wiki-1784	10544	91644	92084
wiki-1785	9814	89336	89804
wiki-1786	10319	91453	91975
wiki-1787	10625	91876	92398
